       x:             u(x):          v(x):  
  0.00010000000  0.00089950471  0.00089950463
  0.00020000000   0.0017980104   0.0017980103
  0.00030000000   0.0026955181   0.0026955179
  0.00040000000   0.0035920288   0.0035920285
  0.00050000000   0.0044875435   0.0044875431
  0.00060000000   0.0053820632   0.0053820627
  0.00070000000   0.0062755888   0.0062755883
  0.00080000000   0.0071681215   0.0071681209
  0.00090000000   0.0080596621   0.0080596614
   0.0010000000   0.0089502117   0.0089502109
   0.0011000000   0.0098397712   0.0098397703
   0.0012000000    0.010728342    0.010728341
   0.0013000000    0.011615924    0.011615923
   0.0014000000    0.012502519    0.012502518
   0.0015000000    0.013388128    0.013388127
   0.0016000000    0.014272753    0.014272751
   0.0017000000    0.015156393    0.015156391
   0.0018000000    0.016039049    0.016039048
   0.0019000000    0.016920724    0.016920723
   0.0020000000    0.017801417    0.017801416
   0.0021000000    0.018681131    0.018681129
   0.0022000000    0.019559865    0.019559863
   0.0023000000    0.020437621    0.020437619
   0.0024000000    0.021314399    0.021314397
   0.0025000000    0.022190201    0.022190200
   0.0026000000    0.023065028    0.023065027
   0.0027000000    0.023938881    0.023938879
   0.0028000000    0.024811760    0.024811758
   0.0029000000    0.025683667    0.025683665
   0.0030000000    0.026554603    0.026554600
   0.0031000000    0.027424568    0.027424565
   0.0032000000    0.028293563    0.028293561
   0.0033000000    0.029161590    0.029161588
   0.0034000000    0.030028650    0.030028647
   0.0035000000    0.030894743    0.030894740
   0.0036000000    0.031759870    0.031759867
   0.0037000000    0.032624033    0.032624030
   0.0038000000    0.033487232    0.033487229
   0.0039000000    0.034349468    0.034349465
   0.0040000000    0.035210742    0.035210740
   0.0041000000    0.036071056    0.036071053
   0.0042000000    0.036930410    0.036930407
   0.0043000000    0.037788805    0.037788802
   0.0044000000    0.038646242    0.038646239
   0.0045000000    0.039502722    0.039502719
   0.0046000000    0.040358247    0.040358243
   0.0047000000    0.041212816    0.041212812
   0.0048000000    0.042066431    0.042066427
   0.0049000000    0.042919093    0.042919089
   0.0050000000    0.043770802    0.043770799
   0.0051000000    0.044621561    0.044621557
   0.0052000000    0.045471369    0.045471365
   0.0053000000    0.046320228    0.046320224
   0.0054000000    0.047168139    0.047168135
   0.0055000000    0.048015102    0.048015098
   0.0056000000    0.048861118    0.048861114
   0.0057000000    0.049706189    0.049706185
   0.0058000000    0.050550316    0.050550312
   0.0059000000    0.051393499    0.051393494
   0.0060000000    0.052235739    0.052235734
   0.0061000000    0.053077037    0.053077033
   0.0062000000    0.053917395    0.053917390
   0.0063000000    0.054756812    0.054756808
   0.0064000000    0.055595291    0.055595286
   0.0065000000    0.056432832    0.056432827
   0.0066000000    0.057269435    0.057269431
   0.0067000000    0.058105103    0.058105098
   0.0068000000    0.058939835    0.058939830
   0.0069000000    0.059773633    0.059773628
   0.0070000000    0.060606498    0.060606493
   0.0071000000    0.061438430    0.061438425
   0.0072000000    0.062269431    0.062269426
   0.0073000000    0.063099501    0.063099496
   0.0074000000    0.063928642    0.063928637
   0.0075000000    0.064756854    0.064756849
   0.0076000000    0.065584138    0.065584133
   0.0077000000    0.066410496    0.066410490
   0.0078000000    0.067235928    0.067235922
   0.0079000000    0.068060434    0.068060429
